,num_employees,income,energy_usage,co2
0,12492,470562000,52000,86500
1,12187,362519000,66000,89600
2,10968,361022000,53000,83700
3,8378,676026000,53000,86600
4,11863,527233000,44000,77000
5,4572,678986000,52000,78700
6,9184,504015000,27000,61900
7,10101,434070000,46000,82800
8,8074,440165000,68000,89400
9,13379,483127000,45000,74600
10,8974,695787000,54000,86500
11,11967,478263000,35000,72100
12,14525,583800000,35000,79100
13,12103,656350000,58000,88300
14,8462,312276000,41000,79400
15,10955,503992000,46000,85000
16,15247,547804000,53000,82800
17,6585,549893000,41000,75000
18,13624,488676000,64000,82200
19,10792,399769000,32000,64800
20,4842,403164000,43000,80800
21,11000,576790000,30000,70600
22,15221,427257000,34000,79100
23,9392,427821000,59000,88600
24,9087,518514000,30000,76600
25,10651,481999000,58000,85000
26,10697,431809000,54000,80300
27,5131,736123000,43000,87200
28,8433,469898000,45000,78000
29,11178,450502000,53000,80200
30,9378,548900000,72000,98300
31,12250,592477000,57000,95800
32,8638,556678000,61000,83800
33,10552,416630000,51000,75100
34,7683,554489000,45000,75900
35,9358,845470000,38000,88200
36,8025,540447000,65000,84400
37,10633,546921000,61000,86800
38,10860,392888000,35000,69100
39,7418,618677000,50000,78500
40,9710,449827000,60000,89900
41,12523,695601000,52000,81800
42,8503,695270000,51000,89400
43,11903,608315000,49000,86900
44,13958,513446000,58000,88600
45,11460,441934000,39000,79000
46,12975,928003000,35000,84200
47,12032,656748000,52000,89700
48,12791,419697000,39000,70300
49,9477,779531000,65000,92200
50,16945,621316000,54000,91300
51,15982,595856000,67000,99200
52,9195,303127000,47000,70300
53,7299,679738000,44000,85700
54,11260,435782000,66000,95500
55,3808,764393000,61000,90000
56,8204,530138000,49000,74500
57,8677,691064000,36000,76300
58,7893,556193000,62000,91000
59,6117,571932000,52000,89500
60,12817,498533000,50000,78300
61,5898,518155000,40000,81300
62,10486,421675000,14000,53800
63,14204,425820000,64000,94400
64,8857,595981000,31000,70400
65,8990,506726000,77000,95300
66,12301,541622000,52000,84700
67,13909,578299000,23000,71200
68,9275,410933000,59000,81600
69,10574,797473000,34000,75800
70,8687,430132000,77000,107100
71,13144,404592000,59000,84400
72,11025,484140000,62000,92900
73,7865,551849000,48000,84000
74,12821,463543000,45000,85900
75,11807,597708000,74000,96900
76,17128,567424000,23000,69600
77,11281,284463000,48000,78900
78,11305,601750000,69000,98000
79,7908,471557000,51000,76400
80,12791,574066000,70000,97500
81,12567,637847000,57000,89600
82,9828,638815000,61000,76900
83,10078,796299000,50000,89800
84,9721,742532000,42000,92500
85,8300,398796000,54000,82000
86,14287,279132000,42000,75000
87,8913,435250000,86000,102300
88,4463,478474000,31000,72100
89,10836,543283000,64000,96600
90,11559,604725000,32000,80700
91,8000,617847000,34000,79600
92,11236,549226000,41000,81700
93,6539,617306000,57000,88600
94,8412,531773000,39000,76500
95,13943,511379000,45000,86500
96,7372,634216000,65000,93200
97,10122,666051000,42000,77800
98,11957,481199000,30000,68600
99,8980,680965000,49000,85200
100,7997,581604000,61000,94900
101,9277,464139000,68000,86000
102,10880,440980000,40000,63800
103,10697,483224000,31000,68000
104,10050,479001000,68000,98600
105,10354,461463000,53000,83700
106,9403,393562000,45000,82100
107,10263,255865000,34000,70500
108,11865,561795000,71000,102000
109,11026,710346000,33000,79600
110,9213,474076000,68000,95100
111,13470,163209000,67000,90200
112,7792,684449000,75000,97100
113,11795,502280000,49000,79100
114,17586,649371000,38000,94900
115,7544,628507000,60000,95500
116,11169,334105000,29000,67100
117,12473,608982000,58000,91100
118,14817,704970000,29000,80000
119,15599,393231000,37000,77700
120,7237,720325000,37000,67400
121,10796,564096000,45000,78500
122,8652,442166000,60000,81600
123,12856,332676000,43000,80100
124,11381,555517000,58000,83600
125,9371,593939000,77000,98200
126,9308,303163000,73000,88700
127,7219,766064000,46000,81300
128,3336,280759000,77000,94900
129,13633,465417000,68000,102100
130,10758,451272000,76000,90100
131,12102,617171000,49000,87500
132,9147,607008000,51000,86000
133,12723,417381000,36000,77200
134,9031,397478000,60000,87200
135,12727,506133000,50000,86500
136,10871,573578000,55000,85800
137,10553,499372000,56000,79700
138,11403,556266000,60000,87600
139,8641,267143000,74000,96600
140,10193,612499000,53000,78100
141,11615,519993000,57000,84100
142,14353,613526000,44000,85600
143,10620,543817000,45000,72600
144,10039,877531000,45000,85000
145,7495,352187000,54000,90400
146,15995,553725000,66000,99200
147,6996,461094000,55000,83800
148,6258,547751000,48000,90300
149,5667,279308000,63000,78800
150,9162,504495000,37000,79200
151,11738,765003000,51000,79900
152,12378,480838000,44000,77100
153,14964,477239000,39000,82900
154,9215,584131000,32000,63900
155,3282,537797000,59000,82800
156,1250,350937000,45000,76900
157,11699,604002000,77000,100100
158,8340,444548000,19000,61800
159,11732,221895000,41000,72000
160,10734,528422000,65000,87700
161,11362,274958000,53000,73300
162,18450,325708000,51000,95000
163,12650,451493000,53000,80900
164,7644,472935000,62000,86100
